# Code,Name,Ticker
8830,住友不動産,8830.T
9001,東武鉄道,9001.T
9005,東急,9005.T
9007,小田急電鉄,9007.T
9008,京王電鉄,9008.T
9009,京成電鉄,9009.T
9020,東日本旅客鉄道,9020.T
9021,西日本旅客鉄道,9021.T
9022,東海旅客鉄道,9022.T
9064,ヤマトホールディングス,9064.T
9101,日本郵船,9101.T
9104,商船三井,9104.T
9107,川崎汽船,9107.T
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,9147.T
9201,日本航空,9201.T
9202,ＡＮＡホールディングス,9202.T
9432,ＮＴＴ,9432.T
9433,ＫＤＤＩ,9433.T
9434,ソフトバンク,9434.T
9501,東京電力ホールディングス,9501.T
9502,中部電力,9502.T
9503,関西電力,9503.T
9531,東京瓦斯,9531.T
9532,大阪瓦斯,9532.T
9602,東宝,9602.T
9735,セコム,9735.T
9766,コナミグループ,9766.T
9843,ニトリホールディングス,9843.T
9983,ファーストリテイリング,9983.T
9984,ソフトバンクグループ,9984.T
1414,ショーボンドホールディングス,1414.T
1419,タマホーム,1419.T
1518,三井松島ホールディングス,1518.T
1662,石油資源開発,1662.T
1719,安藤・間,1719.T
1878,大東建託,1878.T
1911,住友林業,1911.T
1942,関電工,1942.T
1951,エクシオグループ,1951.T
1959,クラフティア,1959.T
1969,高砂熱学工業,1969.T
2124,ジェイエイシーリクルートメント,2124.T
2127,日本Ｍ＆Ａセンターホールディングス,2127.T
2154,オープンアップグループ,2154.T
2168,パソナグループ,2168.T
2181,パーソルホールディングス,2181.T
2201,森永製菓,2201.T
2222,寿スピリッツ,2222.T
2229,カルビー,2229.T
2264,森永乳業,2264.T
2267,ヤクルト本社,2267.T
2317,システナ,2317.T
2327,日鉄ソリューションズ,2327.T
2371,カカクコム,2371.T
2379,ディップ,2379.T
2384,ＳＢＳホールディングス,2384.T
2531,宝ホールディングス,2531.T
2587,サントリー食品インターナショナル,2587.T
2670,エービーシー・マート,2670.T
2678,アスクル,2678.T
2685,アンドエスティＨＤ,2685.T
2702,日本マクドナルドホールディングス,2702.T
2726,パルグループホールディングス,2726.T
2760,東京エレクトロン　デバイス,2760.T
2767,円谷フィールズホールディングス,2767.T
2811,カゴメ,2811.T
2875,東洋水産,2875.T
2897,日清食品ホールディングス,2897.T
3003,ヒューリック,3003.T
3038,神戸物産,3038.T
3064,ＭｏｎｏｔａＲＯ,3064.T
3088,マツキヨココカラ＆カンパニー,3088.T
3107,ダイワボウホールディングス,3107.T
3116,トヨタ紡織,3116.T
3132,マクニカホールディングス,3132.T
3148,クリエイトＳＤホールディングス,3148.T
3186,ネクステージ,3186.T
3231,野村不動産ホールディングス,3231.T
3288,オープンハウスグループ,3288.T
3291,飯田グループホールディングス,3291.T
3349,コスモス薬品,3349.T
3360,シップヘルスケアホールディングス,3360.T
3391,ツルハホールディングス,3391.T
3465,ケイアイスター不動産,3465.T
3549,クスリのアオキホールディングス,3549.T
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563.T
3626,ＴＩＳ,3626.T
3635,コーエーテクモホールディングス,3635.T
3765,ガンホー・オンライン・エンターテイメント,3765.T
3769,ＧＭＯペイメントゲートウェイ,3769.T
3774,インターネットイニシアティブ,3774.T
3923,ラクス,3923.T
4088,エア・ウォーター,4088.T
4091,日本酸素ホールディングス,4091.T
4182,三菱瓦斯化学,4182.T
4186,東京応化工業,4186.T
4194,ビジョナル,4194.T
4202,ダイセル,4202.T
4203,住友ベークライト,4203.T
4204,積水化学工業,4204.T
4401,ＡＤＥＫＡ,4401.T
4403,日油,4403.T
4516,日本新薬,4516.T
4527,ロート製薬,4527.T
4528,小野薬品工業,4528.T
4587,ペプチドリーム,4587.T
4612,日本ペイントホールディングス,4612.T
4613,関西ペイント,4613.T
4626,太陽ホールディングス,4626.T
4666,パーク２４,4666.T
4680,ラウンドワン,4680.T
4681,リゾートトラスト,4681.T
4684,オービック,4684.T
4686,ジャストシステム,4686.T
4716,日本オラクル,4716.T
4722,フューチャー,4722.T
4732,ユー・エス・エス,4732.T
4768,大塚商会,4768.T
4812,電通総研,4812.T
4816,東映アニメーション,4816.T
4912,ライオン,4912.T
4967,小林製薬,4967.T
4980,デクセリアルズ,4980.T
5021,コスモエネルギーホールディングス,5021.T
5032,ＡＮＹＣＯＬＯＲ,5032.T
5076,インフロニア・ホールディングス,5076.T
5105,ＴＯＹＯ　ＴＩＲＥ,5105.T
5334,日本特殊陶業,5334.T
